B_Ion,A_Ion,C_Ion,AntiSolvent,Cell_Area,Solv_Anneal,HTL,Bandgap,Solvents,Backcontact,ETL,Synth_Atm,Dep_Procedure,Is_Module,Anneal_Temp,PCE,Voc,Jsc,FF
Pb,MA,I,0,0.2,0,PEDOT:PSS | PDPP-DTT,1.6,none,Ag,PCBM-60 | LiF,Vacuum,Co-evaporation,0,,9.8,1,13.3,0.74
Pb,MA,I,0,,1,PEDOT:PSS,,DMF; DMSO,Ag,PCBM-60 | Bphen,N2,Spin-coating,0,100,14.1,0.96,18.59,0.78
Pb,MA,I,0,0.12,0,none,1.5,GBL,Au,TiO2-c | TiO2-mp,Ar,Spin-coating,0,100,5.5,0.632,16.1,0.57
Pb,MA,I,1,0.045,0,PEDOT:PSS,1.6,DMF,Ag,PCBM-60 | Bphen,N2,Spin-coating,0,100,11.82,0.912,18.76,0.691
Pb,MA,I,0,0.1256,0,MeO-PheDOT,1.6,DMF,Au,TiO2-c,Unknown,Spin-coating,0,95,9.46,0.885,18.19,0.588
Pb,MA,I,1,0.4,0,Spiro-MeOTAD,1.6,DMF,Au,TiO2-c,Unknown,Spin-coating,0,,9.9,0.98,20.7,0.49
Pb,MA,I,1,0.045,0,Spiro-MeOTAD,1.6,DMSO; GBL,Ag,TiO2-c,Unknown,Spin-coating,0,100,18.67,1.04,23.5,0.762
Pb,MA,I,0,0.15,0,none,1.6,DMF; DMSO,Carbon; NiO:rGO,TiO2-c | TiO2-mp,Air,Spin-coating,0,100,6.17,0.776,15.43,0.51
Pb,MA,Cl; I,0,,0,Unknown,1.55,DMF,Graphite,TiO2-c,Ambient air >> Vacuum,Spin-coating >> CVD,0,70,1.23,0.532,4.56,0.506
Pb,MA,I,0,0.1,0,PEDOT:PSS,1.6,DMF >> IPA,Carbon-tape,PCBM-60,Unknown,Spin-coating >> CBD,0,,12.7,,,
Pb,MA,I,0,0.1,0,none,1.5,DMF >> IPA,Au,TiO2-c | TiO2-mp,Unknown,Spin-coating >> CBD,0,,7.09,0.844,12.47,0.673
Pb,FA,I,1,0.05,0,Phenethylamine | Spiro-MeOTAD,1.48,DMF,Au,TiO2-c,N2,Spin-coating,0,,13.3,0.95,23.6,0.59
Pb | Pb,MA | (MIC3),I | I,1,0.16,0,Spiro-MeOTAD,,Unknown,Au,TiO2-c | TiO2-mp,Ar >> Ar,Spin-coating >> Spin-coating,0,,16.41,1.056,21.72,0.729
Pb,MA,I,1,1.05,0,Spiro-MeOTAD,1.6,DMSO,Au,TiO2-c | TiO2-mp,Unknown,Spin-coating,0,100,15.89,1,20,0.84
Pb,MA,I,0,0.1,1,PEDOT:PSS,1.6,DMF,Al,PCBM-60 | BCP,Unknown,Spin-coating,0,100,3.5,1,12.5,0.27
Pb,MA,I,0,0.06,0,PTAA,1.6,DMF,Ti | Au,PCBM-60,N2 | N2,Spin-coating | Spin-coating,0,,16.13,1.019,21.14,0.75
Pb,MA,I,0,0.1,0,none,1.6,Unknown,Au,PCBM-60,Unknown,Spin-coating,0,95,4.43,0.82,11,0.489
Pb,MA,I,0,,0,none,1.6,DMF,Carbon,TiO2-c | TiO2-mp | ZrO2-mp,Air,Spin-coating,0,70,8.11,0.85,14.11,0.68
Pb,MA,I,0,0.1,0,Spiro-MeOTAD,1.6,DMF >> IPA,Au,TiO2-c | TiO2-nw,Unknown,Spin-coating >> CBD,0,,1.7,0.63,7.43,0.36
Pb,MA,I,0,0.06,0,Spiro-MeOTAD,1.6,DMF >> none,Au,TiO2-c,N2 >> MAI; Vacuum,Spin-coating >> Gas reaction,0,,14.8,0.98,23.3,0.65
Pb,MA,I,1,0.25,0,CuSCN,1.55,DMF; DMSO,Au,TiO2-c,Air,Spin-coating,0,120,8.07,0.74,17.72,0.69
Pb,MA,I,1,0.06,0,Spiro-MeOTAD,1.6,DMF; DMSO,Au,TiO2-c | PCBM-60,Unknown,Spin-coating,0,100,15.2,1.02,21.41,0.7
Pb,MA,I,1,0.16,0,Spiro-MeOTAD,1.6,DMF; DMSO,Au,TiO2-c | TiO2-mp,Unknown,Spin-coating,0,,3.5,0.85,13.5,0.3
Pb,Cs; FA,Br; I,1,,0,PTAA,1.61,DMF; DMSO,Ag,PCBM-60 | SnO2-c,N2,Spin-coating,0,80,13.4,1.03,19.5,0.67
Pb,FA; MA,Br; I,1,0.0716,0,PTAA,1.55,DMF; DMSO,Cu,PCBM-60 | C60 | BCP,Unknown,Spin-coating,0,,19.2,1.03,23.7,0.79
Pb,Cs; FA; MA,Br; I,0,0.1,0,H6-ZnPc,,Unknown,Au,SnO2-c,Unknown,Unknown,0,,8.52,1.04,19,0.43
Pb,MA,I,0,0.07,0,Spiro-MeOTAD,1.6,DMF,Ag,TiO2-c | TiO2-mp,N2,Spin-coating,0,,11.01,0.933,20.42,0.578
Pb,MA,I,1,0.1,0,CuS-np,1.6,DMF,Ag,C60 | BCP,N2,Spin-coating,0,100,13.9,0.95,21.6,0.672
Pb,MA,I,1,0.0831,0,TPA-OMeTPA,1.6,DMF; DMSO,Au,TiO2-c,N2,Spin-coating,0,,9.6,0.93,17.4,0.59
